Timestamp,Location,Day,Your initials,Gender,Year,Financial Aid,Sports,Sexual Orientation,Race,Concentration,Legacy,First gen,Domestic/Intl,Greek,21 or older,Q1 Paxson,Q2 Advisor,Q3 Cigs,Q4 Election,Q5 CAPS,Q6 Exercise,Q7 Coffee,Q8 Shamed,Q9 Food,Q10 Med/law advising,Q11 Selling,Q12 Cheating,Q13 Substance use in class
11/2/2015 22:44:28,JWW front,Day 1,MR,Male,First-year,None,No,Heterosexual,Asian,Physical sciences,No,No,Domestic,No,No,No opinion,3-4,I do not smoke cigarettes or e-cigarettes,I am unsure,0,1-3,0,No,Somewhat satisfied,No opinion,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/2/2015 22:44:44,JWW front,Day 1,MR,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2015 22:46:44,JWW front,Day 1,MR,Female,Senior,None,No,Heterosexual,White,"Humanities/arts, Social sciences",No,No,International,No,Yes,Somewhat disapprove,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,4-7,4-7,No,Somewhat satisfied,No opinion,No,I have never been in an exclusive relationship,I have been under the influence of marijuana during class
11/2/2015 22:48:31,JWW front,Day 1,MR,Male,Junior,None,No,Heterosexual,White,Physical sciences,No,No,Domestic,No,No,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,I am uninterested in voting or ineligible to vote,0,4-7,1-3,No,Somewhat dissatisfied,I am not considering applying to law or medical school,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/2/2015 22:50:24,JWW front,Day 1,MR,Female,First-year,None,No,Heterosexual,Asian,"Life sciences, Physical sciences",No,No,International,No,No,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,I am uninterested in voting or ineligible to vote,0,1-3,0,No,Somewhat satisfied,Somewhat satisfied,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/2/2015 22:52:54,JWW front,Day 1,MR,Female,Senior,None,No,Heterosexual,White,Social sciences,No,No,Domestic,No,Yes,Somewhat approve,0,I do not smoke cigarettes or e-cigarettes,Hillary Clinton,1,4-7,8-14,No,No opinion,No opinion,No,I have never been in an exclusive relationship,I have been under the influence of marijuana during class
11/2/2015 22:55:20,JWW front,Day 1,MR,Female,Junior,Grants and loans,Yes,Heterosexual,White,Physical sciences,No,No,Domestic,No,Yes,Somewhat approve,1-2,I do not smoke cigarettes or e-cigarettes,Hillary Clinton,2-4,14 or more,8-14,No,Very satisfied,I am not considering applying to law or medical school,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/2/2015 22:58:15,JWW front,Day 1,MR,Female,First-year,"Grants, covering some costs",No,Bisexual,Asian,Social sciences,No,Yes,Domestic,No,No,Strongly approve,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,4-7,4-7,No,Somewhat satisfied,No opinion,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on","I have been drunk during class, I have been under the influence of marijuana during class"
11/2/2015 22:59:48,JWW front,Day 1,MR,Female,First-year,None,No,Other,Asian,Physical sciences,No,No,International,No,No,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,Hillary Clinton,0,1-3,1-3,No,Somewhat satisfied,No opinion,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/2/2015 23:01:06,JWW front,Day 1,MR,Male,First-year,None,No,Heterosexual,White,Social sciences,No,No,Domestic,No,No,No opinion,3-4,I do not smoke cigarettes or e-cigarettes,Hillary Clinton,0,1-3,0,No,Very satisfied,No opinion,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/2/2015 23:03:59,JWW front,Day 1,MR,Female,Senior,None,No,Heterosexual,White,Humanities/arts,Yes,No,Domestic,No,Yes,Somewhat disapprove,0,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,2-4,8-10,15-21,No,Somewhat dissatisfied,I am not considering applying to law or medical school,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have been under the influence of marijuana during class
11/2/2015 23:06:11,JWW front,Day 1,MR,Male,Senior,None,No,,Asian,Physical sciences,No,No,Domestic,No,No,Somewhat approve,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,1-3,4-7,No,Somewhat satisfied,I am not considering applying to law or medical school,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/2/2015 23:08:08,JWW front,Day 1,MR,Male,First-year,None,Yes,Heterosexual,White,"Humanities/arts, Social sciences",No,No,International,No,No,No opinion,1-2,At least daily,Bernie Sanders,1,14 or more,22 or more,No,Somewhat satisfied,I am not considering applying to law or medical school,No,I have cheated,"I have been drunk during class, I have been under the influence of marijuana during class, I have been under the influence of another controlled substance during class"
11/2/2015 23:09:41,JWW front,Day 1,MR,Female,Sophomore,None,No,Bisexual,White,Life sciences,No,No,Domestic,No,No,Somewhat approve,3-4,Rarely,Bernie Sanders,2-4,4-7,8-14,No,Somewhat satisfied,No opinion,No,I have never been in an exclusive relationship,I have been drunk during class
11/2/2015 23:11:40,JWW front,Day 1,MR,Female,Senior,Just loans,No,Heterosexual,Asian,Physical sciences,No,No,Domestic,Yes,Yes,Somewhat disapprove,3-4,Rarely,I am unsure,1,4-7,4-7,No,Very dissatisfied,No opinion,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have been drunk during class
11/2/2015 23:14:06,JWW front,Day 1,MR,Male,First-year,None,No,Other,White,Humanities/arts,No,No,Domestic,No,No,Somewhat disapprove,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,2-4,0,8-14,No,Somewhat satisfied,I am not considering applying to law or medical school,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/2/2015 23:15:29,JWW front,Day 1,MR,Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Black,Social sciences,No,No,Domestic,Yes,No,Somewhat approve,0,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,0,0,No,Somewhat satisfied,Somewhat dissatisfied,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/2/2015 23:17:33,JWW front,Day 1,MR,Female,Junior,Grants and loans,No,Heterosexual,Black,Physical sciences,No,No,Domestic,No,No,Somewhat approve,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,1-3,4-7,No,No opinion,I am not considering applying to law or medical school,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/2/2015 23:19:18,JWW front,Day 1,MR,Female,First-year,"Grants, covering some costs",No,Heterosexual,Other,Physical sciences,No,No,International,No,No,No opinion,3-4,Rarely,I am uninterested in voting or ineligible to vote,0,4-7,15-21,No,No opinion,No opinion,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
